200
1	24	6
2	15	15
3	40	8
4	90	30
5	36	18
6	90	30
7	40	8
8	90	30
9	24	6
10	90	30
11	40	8
12	40	8
13	36	18
14	40	8
15	15	15
16	36	18
17	90	30
18	24	6
19	40	8
20	36	18
21	24	6
22	90	30
23	36	18
24	40	8
25	15	15
26	36	18
27	24	6
28	15	15
29	15	15
30	15	15
31	15	15
32	24	6
33	90	30
34	36	18
35	40	8
36	40	8
37	40	8
38	36	18
39	24	6
40	40	8
41	40	8
42	36	18
43	24	6
44	40	8
45	15	15
46	24	6
47	15	15
48	40	8
49	15	15
50	36	18
51	40	8
52	36	18
53	40	8
54	90	30
55	15	15
56	40	8
57	36	18
58	15	15
59	24	6
60	36	18
61	24	6
62	40	8
63	24	6
64	15	15
65	90	30
66	15	15
67	36	18
68	40	8
69	36	18
70	36	18
71	40	8
72	40	8
73	90	30
74	90	30
75	15	15
76	24	6
77	90	30
78	90	30
79	15	15
80	36	18
81	90	30
82	40	8
83	15	15
84	15	15
85	40	8
86	24	6
87	15	15
88	36	18
89	15	15
90	36	18
91	90	30
92	15	15
93	40	8
94	24	6
95	90	30
96	36	18
97	36	18
98	24	6
99	15	15
100	90	30
101	15	15
102	90	30
103	40	8
104	36	18
105	24	6
106	90	30
107	15	15
108	15	15
109	24	6
110	40	8
111	15	15
112	36	18
113	15	15
114	90	30
115	24	6
116	40	8
117	36	18
118	36	18
119	36	18
120	15	15
121	15	15
122	90	30
123	40	8
124	24	6
125	15	15
126	24	6
127	36	18
128	15	15
129	24	6
130	36	18
131	90	30
132	40	8
133	90	30
134	15	15
135	24	6
136	15	15
137	24	6
138	90	30
139	24	6
140	24	6
141	36	18
142	40	8
143	24	6
144	36	18
145	24	6
146	36	18
147	90	30
148	24	6
149	40	8
150	36	18
151	90	30
152	90	30
153	90	30
154	15	15
155	90	30
156	40	8
157	90	30
158	36	18
159	40	8
160	24	6
161	24	6
162	36	18
163	15	15
164	36	18
165	90	30
166	15	15
167	24	6
168	24	6
169	40	8
170	24	6
171	36	18
172	40	8
173	15	15
174	90	30
175	36	18
176	90	30
177	36	18
178	40	8
179	24	6
180	90	30
181	15	15
182	40	8
183	90	30
184	36	18
185	90	30
186	40	8
187	15	15
188	90	30
189	90	30
190	36	18
191	40	8
192	24	6
193	24	6
194	40	8
195	24	6
196	90	30
197	90	30
198	24	6
199	15	15
200	24	6
578
