150	115	15	7.66666666667
151	230	30	7.66666666667
152	230	30	7.66666666667
170	140	40	3.5
171	280	80	3.5
190	154	54	2.85185185185
191	154	54	2.85185185185
77	163	63	2.5873015873
78	326	126	2.5873015873
79	652	252	2.5873015873
80	163	63	2.5873015873
89	209	109	1.91743119266
90	418	218	1.91743119266
91	836	436	1.91743119266
92	627	327	1.91743119266
136	237	137	1.7299270073
137	474	274	1.7299270073
138	948	548	1.7299270073
139	711	411	1.7299270073
55	241	141	1.70921985816
56	482	282	1.70921985816
57	482	282	1.70921985816
95	290	190	1.52631578947
66	314	214	1.46728971963
67	628	428	1.46728971963
68	1256	856	1.46728971963
69	314	214	1.46728971963
98	314	214	1.46728971963
99	628	428	1.46728971963
100	628	428	1.46728971963
143	324	224	1.44642857143
144	648	448	1.44642857143
145	648	448	1.44642857143
48	335	235	1.42553191489
49	670	470	1.42553191489
50	1340	940	1.42553191489
51	335	235	1.42553191489
35	346	246	1.40650406504
36	692	492	1.40650406504
37	1384	984	1.40650406504
192	347	247	1.4048582996
193	694	494	1.4048582996
194	1388	988	1.4048582996
195	694	494	1.4048582996
126	356	256	1.390625
127	712	512	1.390625
128	1424	1024	1.390625
27	385	285	1.35087719298
28	770	570	1.35087719298
32	406	306	1.32679738562
33	812	612	1.32679738562
34	406	306	1.32679738562
108	416	316	1.3164556962
109	832	632	1.3164556962
3	438	338	1.29585798817
4	438	338	1.29585798817
70	440	340	1.29411764706
71	880	680	1.29411764706
72	1760	1360	1.29411764706
73	1320	1020	1.29411764706
84	447	347	1.28818443804
85	894	694	1.28818443804
117	460	360	1.27777777778
118	920	720	1.27777777778
119	1840	1440	1.27777777778
19	477	377	1.26525198939
120	479	379	1.26385224274
121	958	758	1.26385224274
122	958	758	1.26385224274
181	521	421	1.23752969121
182	1042	842	1.23752969121
183	521	421	1.23752969121
17	523	423	1.23640661939
18	1046	846	1.23640661939
64	538	438	1.22831050228
65	1076	876	1.22831050228
86	541	441	1.22675736961
87	1082	882	1.22675736961
88	1623	1323	1.22675736961
31	546	446	1.22421524664
196	555	455	1.21978021978
197	1110	910	1.21978021978
198	2220	1820	1.21978021978
129	559	459	1.21786492375
130	1118	918	1.21786492375
131	1677	1377	1.21786492375
105	570	470	1.21276595745
106	1140	940	1.21276595745
107	1710	1410	1.21276595745
156	574	474	1.21097046414
157	1148	948	1.21097046414
158	2296	1896	1.21097046414
159	574	474	1.21097046414
184	582	482	1.20746887967
153	590	490	1.20408163265
154	1180	980	1.20408163265
155	1180	980	1.20408163265
62	592	492	1.20325203252
63	592	492	1.20325203252
114	603	503	1.19880715706
115	1206	1006	1.19880715706
116	2412	2012	1.19880715706
165	612	512	1.1953125
166	612	512	1.1953125
185	626	526	1.19011406844
186	1252	1052	1.19011406844
187	1252	1052	1.19011406844
96	627	527	1.18975332068
97	1254	1054	1.18975332068
5	632	532	1.18796992481
6	1264	1064	1.18796992481
7	1896	1596	1.18796992481
180	652	552	1.18115942029
110	661	561	1.17825311943
111	1322	1122	1.17825311943
112	2644	2244	1.17825311943
113	661	561	1.17825311943
29	677	577	1.1733102253
30	1354	1154	1.1733102253
45	682	582	1.17182130584
46	1364	1164	1.17182130584
47	682	582	1.17182130584
179	685	585	1.17094017094
160	697	597	1.1675041876
161	1394	1194	1.1675041876
162	2091	1791	1.1675041876
42	699	599	1.16694490818
43	1398	1198	1.16694490818
44	2097	1797	1.16694490818
176	708	608	1.16447368421
177	1416	1216	1.16447368421
178	708	608	1.16447368421
1	717	617	1.16207455429
2	717	617	1.16207455429
38	726	626	1.15974440895
39	1452	1252	1.15974440895
40	2904	2504	1.15974440895
41	2178	1878	1.15974440895
146	730	630	1.15873015873
147	1460	1260	1.15873015873
148	2920	2520	1.15873015873
149	2190	1890	1.15873015873
16	739	639	1.15649452269
81	745	645	1.15503875969
82	1490	1290	1.15503875969
83	745	645	1.15503875969
8	749	649	1.15408320493
9	1498	1298	1.15408320493
10	2996	2596	1.15408320493
11	749	649	1.15408320493
163	751	651	1.15360983103
164	751	651	1.15360983103
123	789	689	1.14513788099
124	1578	1378	1.14513788099
125	2367	2067	1.14513788099
12	826	726	1.13774104683
13	1652	1452	1.13774104683
14	3304	2904	1.13774104683
15	1652	1452	1.13774104683
52	840	740	1.13513513514
53	1680	1480	1.13513513514
101	854	754	1.13262599469
102	1708	1508	1.13262599469
103	3416	3016	1.13262599469
104	1708	1508	1.13262599469
172	866	766	1.13054830287
173	1732	1532	1.13054830287
174	3464	3064	1.13054830287
175	866	766	1.13054830287
54	891	791	1.12642225032
140	906	806	1.12406947891
141	1812	1612	1.12406947891
142	1812	1612	1.12406947891
74	913	813	1.12300123001
75	1826	1626	1.12300123001
76	3652	3252	1.12300123001
132	955	855	1.11695906433
133	1910	1710	1.11695906433
134	3820	3420	1.11695906433
135	955	855	1.11695906433
58	1002	902	1.11086474501
59	2004	1804	1.11086474501
60	4008	3608	1.11086474501
61	3006	2706	1.11086474501
20	1027	927	1.10787486516
21	2054	1854	1.10787486516
22	1027	927	1.10787486516
167	1034	934	1.10706638116
168	2068	1868	1.10706638116
169	1034	934	1.10706638116
188	1072	972	1.10288065844
189	2144	1944	1.10288065844
93	1079	979	1.10214504597
94	2158	1958	1.10214504597
199	1087	987	1.10131712259
200	2174	1974	1.10131712259
23	1092	992	1.10080645161
24	2184	1984	1.10080645161
25	4368	3968	1.10080645161
26	1092	992	1.10080645161
